"Signal","Type","DataType","Deprecated","Unit","Min","Max","Desc","Comment","Allowed","Default","Id"
"Vehicle.Cabin.Seat.Row1","branch","","","","","","All seats.","","","","7a420ddeac6f538eb3939bb4a242d136"
"Vehicle.Cabin.Seat.Row1.DriverSide","branch","","","","","","All seats.","","","","a8dd9e808a765a04874c2853c7926ed4"
"Vehicle.Cabin.Seat.Row1.DriverSide.IsOccupied","sensor","boolean","","","","","Does the seat have a passenger in it.","","","","e8b805d0bd3e56be9258685f390a7a9c"
"Vehicle.Cabin.Seat.Row1.DriverSide.Occupant","branch","","","","","","Occupant data.","","","","936f0c2fad4855d382e92393ec6223d7"
"Vehicle.Cabin.Seat.Row1.DriverSide.Occupant.Identifier","branch","","","","","","Identifier attributes based on OAuth 2.0.","","","","972f188af9425bc186a075224bbc3630"
"Vehicle.Cabin.Seat.Row1.DriverSide.Occupant.Identifier.Subject","sensor","string","","","","","Subject for the authentication of the occupant e.g. UserID 7331677.","","","","c4bb8a01fe8a5335b1c7c9288b9863c9"
"Vehicle.Cabin.Seat.Row1.DriverSide.Occupant.Identifier.Issuer","sensor","string","","","","","Unique Issuer for the authentication of the occupant e.g. https://accounts.funcorp.com.","","","","a48e731c91b55a2c9022b21774923b73"
"Vehicle.Cabin.Seat.Row1.DriverSide.IsBelted","sensor","boolean","","","","","Is the belt engaged.","","","","db477d45def05e11a90689c9e655cad9"
"Vehicle.Cabin.Seat.Row1.DriverSide.SeatBeltHeight","actuator","uint16","","mm","","","Seat belt position on vehicle z-axis. Position is relative within available movable range of the seat belt. 0 = Lowermost position supported.","","","","4e5f01eef7ce5005b4d8420fcd233336"
"Vehicle.Cabin.Seat.Row1.DriverSide.Heating","actuator","int8","v4.1 replaced with HeatingCooling","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat.","","","","efeb2be118bb5f5eb796a81d298ab560"
"Vehicle.Cabin.Seat.Row1.DriverSide.HeatingCooling","actuator","int8","","percent","-100","100","Heating or Cooling requsted for the Item. -100 = Maximum cooling, 0 = Heating/cooling deactivated, 100 = Maximum heating.","","","","32ee42cdcf0c5ba3a963d0c11881e0c2"
"Vehicle.Cabin.Seat.Row1.DriverSide.Massage","actuator","uint8","","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","","6d333404bc155fd2afa57a6380ecfd5c"
"Vehicle.Cabin.Seat.Row1.DriverSide.Position","actuator","uint16","","mm","0","","Seat position on vehicle x-axis. Position is relative to the frontmost position supported by the seat. 0 = Frontmost position supported.","","","","b9587caa89dd50d2af7167c99c13bc85"
"Vehicle.Cabin.Seat.Row1.DriverSide.Height","actuator","uint16","","mm","0","","Seat position on vehicle z-axis. Position is relative within available movable range of the seating. 0 = Lowermost position supported.","","","","f44c52884b5c58e4ae462656832c888b"
"Vehicle.Cabin.Seat.Row1.DriverSide.Tilt","actuator","float","","degrees","","","Tilting of seat (seating and backrest) relative to vehicle x-axis. 0 = seat bottom is flat, seat bottom and vehicle x-axis are parallel. Positive degrees = seat tilted backwards, seat x-axis tilted upward, seat z-axis is tilted backward.","In VSS it is assumed that tilting a seat affects both seating (seat bottom) and backrest, i.e. the angle between seating and backrest will not be affected when changing Tilt.","","","c4d3fb129999531a9b59ecff95cfc1c2"
"Vehicle.Cabin.Seat.Row1.DriverSide.Backrest","branch","","","","","","Describes signals related to the backrest of the seat.","","","","876fb7f9209155749108c95bb268836b"
"Vehicle.Cabin.Seat.Row1.DriverSide.Backrest.Recline","actuator","float","","degrees","","","Backrest recline compared to seat z-axis (seat vertical axis). 0 degrees = Upright/Vertical backrest. Negative degrees for forward recline. Positive degrees for backward recline.","Seat z-axis depends on seat tilt. This means that movement of backrest due to seat tilting will not affect Backrest.Recline as long as the angle between Seating and Backrest are constant. Absolute recline relative to vehicle z-axis can be calculated as Tilt + Backrest.Recline.","","","c58f21ae6ce150bc8f0b2cdd4698f958"
"Vehicle.Cabin.Seat.Row1.DriverSide.Backrest.Lumbar","branch","","","","","","Adjustable lumbar support mechanisms in seats allow the user to change the seat back shape.","","","","2112602ef7ab5470b3e57b85d6ff903f"
"Vehicle.Cabin.Seat.Row1.DriverSide.Backrest.Lumbar.Support","actuator","float","","percent","0","100","Lumbar support (in/out position). 0 = Innermost position. 100 = Outermost position.","","","","dc2da05595a151ada19e6d86037abaf0"
"Vehicle.Cabin.Seat.Row1.DriverSide.Backrest.Lumbar.Height","actuator","uint8","","mm","0","","Height of lumbar support. Position is relative within available movable range of the lumbar support. 0 = Lowermost position supported.","","","","637adce522d45075a064f3f94dc568ce"
"Vehicle.Cabin.Seat.Row1.DriverSide.Backrest.SideBolster","branch","","","","","","Backrest side bolster (lumbar side support) settings.","","","","bd36af767f2e582bae11c7a62b635789"
"Vehicle.Cabin.Seat.Row1.DriverSide.Backrest.SideBolster.Support","actuator","float","","percent","0","100","Side bolster support. 0 = Minimum support (widest side bolster setting). 100 = Maximum support.","","","","c3bcf9587aac58af827a41364bc91b55"
"Vehicle.Cabin.Seat.Row1.DriverSide.Seating","branch","","","","","","Describes signals related to the seat bottom of the seat.","Seating is here considered as the part of the seat that supports the thighs. Additional cushions (if any) for support of lower legs is not covered by this branch.","","","1e49fb9d59d85494b290e53b7753dd72"
"Vehicle.Cabin.Seat.Row1.DriverSide.Seating.Length","actuator","uint16","","mm","0","","Length adjustment of seating. 0 = Adjustable part of seating in rearmost position (Shortest length of seating).","","","","b030abb632dc503aa313ba5c75ba36f1"
"Vehicle.Cabin.Seat.Row1.DriverSide.Headrest","branch","","","","","","Headrest settings.","","","","4b193a02bffe52819b69d422d5e50042"
"Vehicle.Cabin.Seat.Row1.DriverSide.Headrest.Height","actuator","uint8","","mm","0","","Position of headrest relative to movable range of the head rest. 0 = Bottommost position supported.","","","","51de4b90534a5f089a9d81d53a663704"
"Vehicle.Cabin.Seat.Row1.DriverSide.Headrest.Angle","actuator","float","","degrees","","","Headrest angle, relative to backrest, 0 degrees if parallel to backrest, Positive degrees = tilted forward.","","","","55cf95c00d2056be859d330d0060a363"
"Vehicle.Cabin.Seat.Row1.DriverSide.Airbag","branch","","","","","","Airbag signals.","","","","cf3eca19b11e5e3ea66a078bed805968"
"Vehicle.Cabin.Seat.Row1.DriverSide.Airbag.IsDeployed","sensor","boolean","","","","","Airbag deployment status. True = Airbag deployed. False = Airbag not deployed.","","","","7308c4cd91025db3aad6dee3e4f9d2a1"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch","branch","","","","","","Seat switch signals","","","","3eb5fc8b515e5a90baaeb10bed7d68ca"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.IsWarmerEngaged","actuator","boolean","","","","","Warmer switch for Seat heater (SingleSeat.Heating).","","","","c7bd527be0fc59208eae631000d0ecf8"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.IsCoolerEngaged","actuator","boolean","","","","","Cooler switch for Seat heater (SingleSeat.Heating).","","","","5e450517dd065464ac9a4927abc936a7"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.IsForwardEngaged","actuator","boolean","","","","","Seat forward switch engaged (SingleSeat.Position).","","","","3414b4d1e0ea5887b900171cb52e13b5"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.IsBackwardEngaged","actuator","boolean","","","","","Seat backward switch engaged (SingleSeat.Position).","","","","242ef7b872b25d9b94db1553e7f0cb0e"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.IsUpEngaged","actuator","boolean","","","","","Seat up switch engaged (SingleSeat.Height).","","","","baef531919455c159b068c8ac8e2bca2"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.IsDownEngaged","actuator","boolean","","","","","Seat down switch engaged (SingleSeat.Height).","","","","d982ff943e5e5e06a7984a2e7bfe2f45"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.IsTiltForwardEngaged","actuator","boolean","","","","","Tilt forward switch engaged (SingleSeat.Tilt).","","","","abef0f196c08580f8b5e610071167e41"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.IsTiltBackwardEngaged","actuator","boolean","","","","","Tilt backward switch engaged (SingleSeat.Tilt).","","","","b3862480ad00587598d3f3f7c3468443"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.Backrest","branch","","","","","","Describes switches related to the backrest of the seat.","","","","27ef6aedeefb5b288d191ca8e5306f55"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.Backrest.IsReclineForwardEngaged","actuator","boolean","","","","","Backrest recline forward switch engaged (SingleSeat.Backrest.Recline).","","","","794645c172745cb0ba6b081d9903be78"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.Backrest.IsReclineBackwardEngaged","actuator","boolean","","","","","Backrest recline backward switch engaged (SingleSeat.Backrest.Recline).","","","","7cc9aaaa51085baaa45be2ee7c7330bf"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.Backrest.Lumbar","branch","","","","","","Switches for SingleSeat.Backrest.Lumbar.","","","","e69977f72c375925ac2817d8313a78e6"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.Backrest.Lumbar.IsMoreSupportEngaged","actuator","boolean","","","","","Is switch for more lumbar support engaged (SingleSeat.Backrest.Lumbar.Support).","","","","9645281792d65ada94160182c5ef2722"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.Backrest.Lumbar.IsLessSupportEngaged","actuator","boolean","","","","","Is switch for less lumbar support engaged (SingleSeat.Backrest.Lumbar.Support).","","","","30ac7b216df9562abc6b7a2c6e0f665c"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.Backrest.Lumbar.IsUpEngaged","actuator","boolean","","","","","Lumbar up switch engaged (SingleSeat.Backrest.Lumbar.Support).","","","","07e098c9c24c5500ac7054a75529187d"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.Backrest.Lumbar.IsDownEngaged","actuator","boolean","","","","","Lumbar down switch engaged (SingleSeat.Backrest.Lumbar.Support).","","","","e34e3c3330ac503a962eb076c7a05209"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.Backrest.SideBolster","branch","","","","","","Switches for SingleSeat.Backrest.SideBolster.","","","","2702b44037a05092987a5da7a1b4e582"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.Backrest.SideBolster.IsMoreSupportEngaged","actuator","boolean","","","","","Is switch for more side bolster support engaged (SingleSeat.Backrest.SideBolster.Support).","","","","056e7fa78a095b3e8c4e025ac7f69893"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.Backrest.SideBolster.IsLessSupportEngaged","actuator","boolean","","","","","Is switch for less side bolster support engaged (SingleSeat.Backrest.SideBolster.Support).","","","","381639fd2a2751a9bb1429be5e0d5a99"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.Seating","branch","","","","","","Describes switches related to the seating of the seat.","","","","d71f5acd57365612bf06f4c372bcbc13"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.Seating.IsForwardEngaged","actuator","boolean","","","","","Is switch to increase seating length engaged (SingleSeat.Seating.Length).","","","","ea6bcaed18645c6fa9110c68b0dcc8b1"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.Seating.IsBackwardEngaged","actuator","boolean","","","","","Is switch to decrease seating length engaged (SingleSeat.Seating.Length).","","","","7f35a13f8af55631bc280df0fedf00be"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.Headrest","branch","","","","","","Switches for SingleSeat.Headrest.","","","","2839bf77f2e95c17afd1a63e2d85249c"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.Headrest.IsUpEngaged","actuator","boolean","","","","","Head rest up switch engaged (SingleSeat.Headrest.Height).","","","","31d5f0a7c65f51c4b7e67d1c8b45b9b8"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.Headrest.IsDownEngaged","actuator","boolean","","","","","Head rest down switch engaged (SingleSeat.Headrest.Height).","","","","14783a76b08953bca5d24ebc8d59b824"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.Headrest.IsForwardEngaged","actuator","boolean","","","","","Head rest forward switch engaged (SingleSeat.Headrest.Angle).","","","","fe246f08a3ba5fe89703bf807c479528"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.Headrest.IsBackwardEngaged","actuator","boolean","","","","","Head rest backward switch engaged (SingleSeat.Headrest.Angle).","","","","5d2d997eaadc510fa7a0ff4f0422aa7e"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.Massage","branch","","","","","","Switches for SingleSeat.Massage.","","","","6d9d54a7a13e57769cf6ec91e63b4190"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.Massage.IsIncreaseEngaged","actuator","boolean","","","","","Increase massage level switch engaged (SingleSeat.Massage).","","","","f321c48d000a5cf88d144e6c8aaebf64"
"Vehicle.Cabin.Seat.Row1.DriverSide.Switch.Massage.IsDecreaseEngaged","actuator","boolean","","","","","Decrease massage level switch engaged (SingleSeat.Massage).","","","","dfcf5fbc84955377b1024600afdb6128"
"Vehicle.Cabin.Seat.Row1.Middle","branch","","","","","","All seats.","","","","bb6213be75be5b33adf6ad5957bb64e9"
"Vehicle.Cabin.Seat.Row1.Middle.IsOccupied","sensor","boolean","","","","","Does the seat have a passenger in it.","","","","decf460a32ce5f1a9f2d4b68329707eb"
"Vehicle.Cabin.Seat.Row1.Middle.Occupant","branch","","","","","","Occupant data.","","","","cd842b8d4e7359d3ac47e8b39ab25ea9"
"Vehicle.Cabin.Seat.Row1.Middle.Occupant.Identifier","branch","","","","","","Identifier attributes based on OAuth 2.0.","","","","acfb210c54605ebeb1d231aa09d98575"
"Vehicle.Cabin.Seat.Row1.Middle.Occupant.Identifier.Subject","sensor","string","","","","","Subject for the authentication of the occupant e.g. UserID 7331677.","","","","d3fda2f366ea5b60a284b945c21aeb17"
"Vehicle.Cabin.Seat.Row1.Middle.Occupant.Identifier.Issuer","sensor","string","","","","","Unique Issuer for the authentication of the occupant e.g. https://accounts.funcorp.com.","","","","a22655ee843f5faf8c86daf55abad5f4"
"Vehicle.Cabin.Seat.Row1.Middle.IsBelted","sensor","boolean","","","","","Is the belt engaged.","","","","42a9c6f57d75550180138950e91e096e"
"Vehicle.Cabin.Seat.Row1.Middle.SeatBeltHeight","actuator","uint16","","mm","","","Seat belt position on vehicle z-axis. Position is relative within available movable range of the seat belt. 0 = Lowermost position supported.","","","","7e7b9ef4f3b350e9adf8091dff7e799f"
"Vehicle.Cabin.Seat.Row1.Middle.Heating","actuator","int8","v4.1 replaced with HeatingCooling","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat.","","","","85e4a1400e1455149687f608cd4a4d08"
"Vehicle.Cabin.Seat.Row1.Middle.HeatingCooling","actuator","int8","","percent","-100","100","Heating or Cooling requsted for the Item. -100 = Maximum cooling, 0 = Heating/cooling deactivated, 100 = Maximum heating.","","","","fa7d96abfc2351fbbac29047c3bb46cd"
"Vehicle.Cabin.Seat.Row1.Middle.Massage","actuator","uint8","","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","","17936943738e57888f4c11a38570f25c"
"Vehicle.Cabin.Seat.Row1.Middle.Position","actuator","uint16","","mm","0","","Seat position on vehicle x-axis. Position is relative to the frontmost position supported by the seat. 0 = Frontmost position supported.","","","","a9c61deb42ac5bb1b2c92fb5ee222db9"
"Vehicle.Cabin.Seat.Row1.Middle.Height","actuator","uint16","","mm","0","","Seat position on vehicle z-axis. Position is relative within available movable range of the seating. 0 = Lowermost position supported.","","","","e9ada64ce4b454928de166adaa4344da"
"Vehicle.Cabin.Seat.Row1.Middle.Tilt","actuator","float","","degrees","","","Tilting of seat (seating and backrest) relative to vehicle x-axis. 0 = seat bottom is flat, seat bottom and vehicle x-axis are parallel. Positive degrees = seat tilted backwards, seat x-axis tilted upward, seat z-axis is tilted backward.","In VSS it is assumed that tilting a seat affects both seating (seat bottom) and backrest, i.e. the angle between seating and backrest will not be affected when changing Tilt.","","","a9931f9f76cd5c9aa7cac23c43d09e38"
"Vehicle.Cabin.Seat.Row1.Middle.Backrest","branch","","","","","","Describes signals related to the backrest of the seat.","","","","5bef9412aeaf582284dc8f9cca5a5129"
"Vehicle.Cabin.Seat.Row1.Middle.Backrest.Recline","actuator","float","","degrees","","","Backrest recline compared to seat z-axis (seat vertical axis). 0 degrees = Upright/Vertical backrest. Negative degrees for forward recline. Positive degrees for backward recline.","Seat z-axis depends on seat tilt. This means that movement of backrest due to seat tilting will not affect Backrest.Recline as long as the angle between Seating and Backrest are constant. Absolute recline relative to vehicle z-axis can be calculated as Tilt + Backrest.Recline.","","","f16a244ea7e2560db3991cb581149683"
"Vehicle.Cabin.Seat.Row1.Middle.Backrest.Lumbar","branch","","","","","","Adjustable lumbar support mechanisms in seats allow the user to change the seat back shape.","","","","03d5b5e01dcb54e5a3f3ce890cd27cee"
"Vehicle.Cabin.Seat.Row1.Middle.Backrest.Lumbar.Support","actuator","float","","percent","0","100","Lumbar support (in/out position). 0 = Innermost position. 100 = Outermost position.","","","","22125fcec8aa5bc99fca8b86edbed2f0"
"Vehicle.Cabin.Seat.Row1.Middle.Backrest.Lumbar.Height","actuator","uint8","","mm","0","","Height of lumbar support. Position is relative within available movable range of the lumbar support. 0 = Lowermost position supported.","","","","32c42eb692605c0c8c2dc7df74a65f4e"
"Vehicle.Cabin.Seat.Row1.Middle.Backrest.SideBolster","branch","","","","","","Backrest side bolster (lumbar side support) settings.","","","","0c0b84957f8158d98f5a8c6d4f3265e5"
"Vehicle.Cabin.Seat.Row1.Middle.Backrest.SideBolster.Support","actuator","float","","percent","0","100","Side bolster support. 0 = Minimum support (widest side bolster setting). 100 = Maximum support.","","","","94e5f2630b7355c7b1b3ac75785bc5c6"
"Vehicle.Cabin.Seat.Row1.Middle.Seating","branch","","","","","","Describes signals related to the seat bottom of the seat.","Seating is here considered as the part of the seat that supports the thighs. Additional cushions (if any) for support of lower legs is not covered by this branch.","","","46a99e1f2b3553099fbb046a6b7dd86d"
"Vehicle.Cabin.Seat.Row1.Middle.Seating.Length","actuator","uint16","","mm","0","","Length adjustment of seating. 0 = Adjustable part of seating in rearmost position (Shortest length of seating).","","","","6fcbf711e9c852ba91f7d846f6066978"
"Vehicle.Cabin.Seat.Row1.Middle.Headrest","branch","","","","","","Headrest settings.","","","","a183fc37f47d55de8c5d2f2f27c779e0"
"Vehicle.Cabin.Seat.Row1.Middle.Headrest.Height","actuator","uint8","","mm","0","","Position of headrest relative to movable range of the head rest. 0 = Bottommost position supported.","","","","520ec12b50515918a664ae6f2ac6b702"
"Vehicle.Cabin.Seat.Row1.Middle.Headrest.Angle","actuator","float","","degrees","","","Headrest angle, relative to backrest, 0 degrees if parallel to backrest, Positive degrees = tilted forward.","","","","d5cc4a79f94f515aa8f5fa59184a5c35"
"Vehicle.Cabin.Seat.Row1.Middle.Airbag","branch","","","","","","Airbag signals.","","","","278a7e2126435a46a04dec92fd50ff8a"
"Vehicle.Cabin.Seat.Row1.Middle.Airbag.IsDeployed","sensor","boolean","","","","","Airbag deployment status. True = Airbag deployed. False = Airbag not deployed.","","","","41909de6e59a56f8b4d3d3a4296c4cb5"
"Vehicle.Cabin.Seat.Row1.Middle.Switch","branch","","","","","","Seat switch signals","","","","85bc5781995852329c3f56ab07a00a39"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.IsWarmerEngaged","actuator","boolean","","","","","Warmer switch for Seat heater (SingleSeat.Heating).","","","","874c7f1345975e67b6a691d541cf46f1"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.IsCoolerEngaged","actuator","boolean","","","","","Cooler switch for Seat heater (SingleSeat.Heating).","","","","4ad9208a44b555d5a80b819aaf97b2c8"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.IsForwardEngaged","actuator","boolean","","","","","Seat forward switch engaged (SingleSeat.Position).","","","","6ebb2556d17959ec9bfc1d796e1f34c6"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.IsBackwardEngaged","actuator","boolean","","","","","Seat backward switch engaged (SingleSeat.Position).","","","","3fdbbe5de45356d383be845b5deeceb8"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.IsUpEngaged","actuator","boolean","","","","","Seat up switch engaged (SingleSeat.Height).","","","","a5628090d3465668adb6f1bc32bd2329"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.IsDownEngaged","actuator","boolean","","","","","Seat down switch engaged (SingleSeat.Height).","","","","f108af06fb3954d5a87fb97cfadba808"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.IsTiltForwardEngaged","actuator","boolean","","","","","Tilt forward switch engaged (SingleSeat.Tilt).","","","","77dca23345a358fa99636c734b4de8ac"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.IsTiltBackwardEngaged","actuator","boolean","","","","","Tilt backward switch engaged (SingleSeat.Tilt).","","","","c7ece3b4d7435fed910b23f7ea5360d1"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.Backrest","branch","","","","","","Describes switches related to the backrest of the seat.","","","","d386d2b7ca955caf8a4d2467d4c7603e"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.Backrest.IsReclineForwardEngaged","actuator","boolean","","","","","Backrest recline forward switch engaged (SingleSeat.Backrest.Recline).","","","","8bd7805b426b5e439abd732e9b503bb3"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.Backrest.IsReclineBackwardEngaged","actuator","boolean","","","","","Backrest recline backward switch engaged (SingleSeat.Backrest.Recline).","","","","a1b764756af559c0b850ee370d859c86"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.Backrest.Lumbar","branch","","","","","","Switches for SingleSeat.Backrest.Lumbar.","","","","acb8e84f703d518dbf6c9c8b899766b0"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.Backrest.Lumbar.IsMoreSupportEngaged","actuator","boolean","","","","","Is switch for more lumbar support engaged (SingleSeat.Backrest.Lumbar.Support).","","","","44923c7fe53c5fa39b632f999a6a951e"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.Backrest.Lumbar.IsLessSupportEngaged","actuator","boolean","","","","","Is switch for less lumbar support engaged (SingleSeat.Backrest.Lumbar.Support).","","","","0f54dcace731576785322d02b68d2068"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.Backrest.Lumbar.IsUpEngaged","actuator","boolean","","","","","Lumbar up switch engaged (SingleSeat.Backrest.Lumbar.Support).","","","","a947a1e52c3850e8ae81e12ef503c472"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.Backrest.Lumbar.IsDownEngaged","actuator","boolean","","","","","Lumbar down switch engaged (SingleSeat.Backrest.Lumbar.Support).","","","","7f7face91df2506f9351f8c27915bc18"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.Backrest.SideBolster","branch","","","","","","Switches for SingleSeat.Backrest.SideBolster.","","","","b2617422a80e5d409d5e327bec8a5895"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.Backrest.SideBolster.IsMoreSupportEngaged","actuator","boolean","","","","","Is switch for more side bolster support engaged (SingleSeat.Backrest.SideBolster.Support).","","","","34016708d65655708157e432fad53f1f"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.Backrest.SideBolster.IsLessSupportEngaged","actuator","boolean","","","","","Is switch for less side bolster support engaged (SingleSeat.Backrest.SideBolster.Support).","","","","a7d928b58dc152408e38fc7b6fdf6851"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.Seating","branch","","","","","","Describes switches related to the seating of the seat.","","","","965137f2801f50e292cfc673a3e145ed"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.Seating.IsForwardEngaged","actuator","boolean","","","","","Is switch to increase seating length engaged (SingleSeat.Seating.Length).","","","","e262f30a38285d7da365a42960f440e2"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.Seating.IsBackwardEngaged","actuator","boolean","","","","","Is switch to decrease seating length engaged (SingleSeat.Seating.Length).","","","","c47a888b0ff85426a98fdcc6763abe10"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.Headrest","branch","","","","","","Switches for SingleSeat.Headrest.","","","","ec7f8f340e005006bc966a96829f886d"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.Headrest.IsUpEngaged","actuator","boolean","","","","","Head rest up switch engaged (SingleSeat.Headrest.Height).","","","","4abfea463f0359fcb387aa1538f12d52"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.Headrest.IsDownEngaged","actuator","boolean","","","","","Head rest down switch engaged (SingleSeat.Headrest.Height).","","","","90d5bb0917875c009a7ee80b61a00e24"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.Headrest.IsForwardEngaged","actuator","boolean","","","","","Head rest forward switch engaged (SingleSeat.Headrest.Angle).","","","","cbecebd77ff953c5830fbab699a3e0b8"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.Headrest.IsBackwardEngaged","actuator","boolean","","","","","Head rest backward switch engaged (SingleSeat.Headrest.Angle).","","","","a7eee2a690c75ab7b7143d95b89d0678"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.Massage","branch","","","","","","Switches for SingleSeat.Massage.","","","","d51481c8a5e05a1ca9481cd8fbaa6844"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.Massage.IsIncreaseEngaged","actuator","boolean","","","","","Increase massage level switch engaged (SingleSeat.Massage).","","","","932e55cb1ea154a0ac35170f8c63cf01"
"Vehicle.Cabin.Seat.Row1.Middle.Switch.Massage.IsDecreaseEngaged","actuator","boolean","","","","","Decrease massage level switch engaged (SingleSeat.Massage).","","","","cd3226582b7a5f6590d983a6ed661a7b"
"Vehicle.Cabin.Seat.Row1.PassengerSide","branch","","","","","","All seats.","","","","c9eef94c5e075ce088020f8a568c0183"
"Vehicle.Cabin.Seat.Row1.PassengerSide.IsOccupied","sensor","boolean","","","","","Does the seat have a passenger in it.","","","","05a31ee58c97506485a19a2e0c213244"
"Vehicle.Cabin.Seat.Row1.PassengerSide.Occupant","branch","","","","","","Occupant data.","","","","fd753377a2335b9fbda2cc2d29f826a6"
"Vehicle.Cabin.Seat.Row1.PassengerSide.Occupant.Identifier","branch","","","","","","Identifier attributes based on OAuth 2.0.","","","","c7156b61e1b45698ae98b5d30c31ade3"
"Vehicle.Cabin.Seat.Row1.PassengerSide.Occupant.Identifier.Subject","sensor","string","","","","","Subject for the authentication of the occupant e.g. UserID 7331677.","","","","121cb6ae3f4451df848f7809b313c392"
"Vehicle.Cabin.Seat.Row1.PassengerSide.Occupant.Identifier.Issuer","sensor","string","","","","","Unique Issuer for the authentication of the occupant e.g. https://accounts.funcorp.com.","","","","bab527a608bd55d4b8a9d4b7d46c7037"
"Vehicle.Cabin.Seat.Row1.PassengerSide.IsBelted","sensor","boolean","","","","","Is the belt engaged.","","","","ed71588a6ea1511cbd4578967a94f963"
"Vehicle.Cabin.Seat.Row1.PassengerSide.SeatBeltHeight","actuator","uint16","","mm","","","Seat belt position on vehicle z-axis. Position is relative within available movable range of the seat belt. 0 = Lowermost position supported.","","","","3ad476825c6b598e8c468c49f0aaec10"
"Vehicle.Cabin.Seat.Row1.PassengerSide.Heating","actuator","int8","v4.1 replaced with HeatingCooling","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat.","","","","f62e56245db158508c9535a07474eed7"
"Vehicle.Cabin.Seat.Row1.PassengerSide.HeatingCooling","actuator","int8","","percent","-100","100","Heating or Cooling requsted for the Item. -100 = Maximum cooling, 0 = Heating/cooling deactivated, 100 = Maximum heating.","","","","9545cb7d8a4c53b6a0c27aeacc2c229f"
"Vehicle.Cabin.Seat.Row1.PassengerSide.Massage","actuator","uint8","","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","","89f7a63fc4f65f05b7df4b74b232cc9f"
