"Signal","Type","DataType","Deprecated","Unit","Min","Max","Desc","Comment","Allowed","Default","Id"
"Vehicle.Body.Windshield.Rear.Wiping.WiperWear","sensor","uint8","","percent","","100","Wiper wear as percent. 0 = No Wear. 100 = Worn. Replacement required. Method for calculating or estimating wiper wear is vehicle specific. For windshields with multiple wipers the wear reported shall correspond to the most worn wiper.","","","","afd6a352230f5eeaa8ac5f1f188bfd33"
"Vehicle.Body.Windshield.Rear.Wiping.IsWipersWorn","sensor","boolean","","","","","Wiper wear status. True = Worn, Replacement recommended or required. False = Not Worn.","","","","0e8d5f7cb6295b908be3a03e8792cca8"
"Vehicle.Body.Windshield.Rear.IsHeatingOn","actuator","boolean","","","","","Windshield heater status. False - off, True - on.","","","","76d811b4c4c356f4898dd6383e28bc6f"
"Vehicle.Body.Windshield.Rear.WasherFluid","branch","","","","","","Windshield washer fluid signals","","","","1ea4ac2370e1567b9b812c1e3020ddfb"
"Vehicle.Body.Windshield.Rear.WasherFluid.IsLevelLow","sensor","boolean","","","","","Low level indication for washer fluid. True = Level Low. False = Level OK.","","","","8ca0356548ae54e8af3aeace49e5ed71"
"Vehicle.Body.Windshield.Rear.WasherFluid.Level","sensor","uint8","","percent","","100","Washer fluid level as a percent. 0 = Empty. 100 = Full.","","","","c167e5b265895c108da1b9582de2dd91"
"Vehicle.Body.Lights","branch","","","","","","Exterior lights.","","","","399d1ec14d6f55bb825e078a801bde55"
"Vehicle.Body.Lights.LightSwitch","actuator","string","","","","","Status of the vehicle main light switch.","A vehicle typically does not support all alternatives. Which lights that actually are lit may vary according to vehicle configuration and local legislation. OFF is typically indicated by 0. POSITION is typically indicated by ISO 7000 symbol 0456. DAYTIME_RUNNING_LIGHTS (DRL) can be indicated by ISO 7000 symbol 2611. AUTO indicates that vehicle automatically selects suitable lights. BEAM is typically indicated by ISO 7000 symbol 0083.","['OFF', 'POSITION', 'DAYTIME_RUNNING_LIGHTS', 'AUTO', 'BEAM']","","2feb14a3558256339442413783969f4f"
"Vehicle.Body.Lights.IsHighBeamSwitchOn","actuator","boolean","","","","","Status of the high beam switch. True = high beam enabled. False = high beam not enabled.","This signal indicates the status of the switch and does not indicate if low or high beam actually are on. That typically depends on vehicle logic and other signals like Lights.LightSwitch and Vehicle.LowVoltageSystemState.","","","ac7db3cd30f55650bc6939df504f1a79"
"Vehicle.Body.Lights.Beam","branch","","","","","","Beam lights.","","","","6685308a9d955ecdad92a7cc68666a12"
"Vehicle.Body.Lights.Beam.Low","branch","","","","","","Beam lights.","","","","f6f21ea5b263545297f4411b2e15037f"
"Vehicle.Body.Lights.Beam.Low.IsOn","actuator","boolean","","","","","Indicates if light is on or off. True = On. False = Off.","","","","8b4d4855b0c95963a25dc564c9758610"
"Vehicle.Body.Lights.Beam.Low.IsDefect","sensor","boolean","","","","","Indicates if light is defect. True = Light is defect. False = Light has no defect.","","","","3a135f1267ea5b2a80aa9a17fc8072db"
"Vehicle.Body.Lights.Beam.High","branch","","","","","","Beam lights.","","","","306b51d2e1ec572fa80172aad6727da0"
"Vehicle.Body.Lights.Beam.High.IsOn","actuator","boolean","","","","","Indicates if light is on or off. True = On. False = Off.","","","","24d1346519b05697b872c06556a09fb4"
"Vehicle.Body.Lights.Beam.High.IsDefect","sensor","boolean","","","","","Indicates if light is defect. True = Light is defect. False = Light has no defect.","","","","83561d8c9a025cfdad6c4b325829fa00"
"Vehicle.Body.Lights.Running","branch","","","","","","Daytime running lights (DRL).","","","","38868a9f1bda573595501302c1f0a1db"
